"pop" "\"main\"" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"347" "WOLLOF" "main.null" 2 25.03856 0.9251615 0.4833031
"348" "WOLLOF" "main.null" 3 25.21119 0.9347814 0.4177647
"349" "WOLLOF" "main.null" 4 25.73278 0.9292225 0.4831902
"350" "WOLLOF" "main.null" 5 23.13281 0.9137457 0.5239627
"351" "WOLLOF" "main.null" 1 26.92668 0.9286827 0.3997805
"352" "WOLLOF" "main.null" 2 23.75711 0.9200108 0.4780353
"353" "WOLLOF" "main.null" 3 26.52559 0.9322605 0.4404852
"354" "WOLLOF" "main.null" 4 25.5583 0.9240454 0.4146201
"355" "WOLLOF" "main.null" 5 23.56891 0.9145493 0.5223543
"356" "WOLLOF" "main.null" 1 24.86655 0.9263129 0.4718484
"357" "WOLLOF" "main.null" 2 25.73278 0.9256968 0.3838457
"358" "WOLLOF" "main.null" 3 23.88947 0.9186365 0.5107947
"359" "WOLLOF" "main.null" 4 24.18468 0.9217162 0.4643415
"360" "WOLLOF" "main.null" 5 27.3309 0.9217998 0.409161
"361" "WOLLOF" "main.null" 1 27.42115 0.9297861 0.428165
"362" "WOLLOF" "main.null" 2 26.97144 0.9177821 0.3935089
"363" "WOLLOF" "main.null" 3 23.50635 0.9199251 0.5478614
"364" "WOLLOF" "main.null" 4 26.17168 0.9308235 0.4157523
"365" "WOLLOF" "main.null" 5 26.21579 0.9274604 0.4766946
"366" "WOLLOF" "main.null" 1 23.88947 0.9328366 0.288202
"367" "WOLLOF" "main.null" 2 25.38443 0.9169813 0.4644312
"368" "WOLLOF" "main.null" 3 24.78078 0.9229288 0.4737604
"369" "WOLLOF" "main.null" 4 27.28583 0.92372 0.4541281
"370" "WOLLOF" "main.null" 5 25.03856 0.9344006 0.4309719
"371" "WOLLOF" "main.null" 1 26.25993 0.9226669 0.3945675
"372" "WOLLOF" "main.null" 2 28.97905 0.9302613 0.4687467
"373" "WOLLOF" "main.null" 3 26.43688 0.9233376 0.4463882
"374" "WOLLOF" "main.null" 4 25.73278 0.9170543 0.5047785
"375" "WOLLOF" "main.null" 5 25.29773 0.9284092 0.3666906
"376" "WOLLOF" "main.null" 1 25.16797 0.9284404 0.4245658
"377" "WOLLOF" "main.null" 2 21.78989 0.9125936 0.5099724
"378" "WOLLOF" "main.null" 3 22.76239 0.9284162 0.4786947
"379" "WOLLOF" "main.null" 4 22.51718 0.9122413 0.5208459
"380" "WOLLOF" "main.null" 5 24.52438 0.9225065 0.498083
"381" "WOLLOF" "main.null" 1 24.3967 0.91652 0.4895242
"382" "WOLLOF" "main.null" 2 27.28583 0.935328 0.3734554
"383" "WOLLOF" "main.null" 3 24.01576 0.9304775 0.3617142
"384" "WOLLOF" "main.null" 4 23.75711 0.9203904 0.4870646
"385" "WOLLOF" "main.null" 5 24.52438 0.9278879 0.3932616
"386" "WOLLOF" "main.null" 1 27.69284 0.9177411 0.4486214
"387" "WOLLOF" "main.null" 2 26.25993 0.9200363 0.4972688
"388" "WOLLOF" "main.null" 3 24.18468 0.9199873 0.4201712
"389" "WOLLOF" "main.null" 4 22.3951 0.9264963 0.455258
"390" "WOLLOF" "main.null" 5 27.3309 0.9296293 0.4463758
"391" "WOLLOF" "main.null" 1 22.79314 0.9286111 0.4272362
"392" "WOLLOF" "main.null" 2 27.69284 0.9207889 0.4509995
"393" "WOLLOF" "main.null" 3 28.60848 0.9149633 0.464361
"394" "WOLLOF" "main.null" 4 22.21262 0.9168266 0.5197378
"395" "WOLLOF" "main.null" 5 28.14873 0.9295385 0.3444207
"396" "WOLLOF" "main.null" 1 26.39258 0.9251292 0.3291442
"397" "WOLLOF" "main.null" 2 24.26938 0.9256626 0.4472699
"398" "WOLLOF" "main.null" 3 26.70347 0.9250942 0.367691
