"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"180" "JOLAJUHOAN200g95p" "ancient" "1" "1D(2D)" "0.947" "0.998" "1" 0.66 "2278B" NA "0.1" "XUN" "MANJAGO" "0.43" "MANJAGO" "MANJAGO" "1375" NA "0.37" "MANJAGO" "MANJAGO" "3318B" NA "0.09" "XUN" "MANJAGO"
"178" "JOLAJUHOAN200g90p" "ancient" "1" "1D(2D)" "0.958" "0.999" "1" 0.59 "3173B" NA "0.14" "XUN" "MANJAGO" "0.43" "MALINKE" "MANJAGO" "1348" NA "0.42" "MANJAGO" "MANJAGO" "3475B" NA "0.13" "XUN" "MANJAGO"
"176" "JOLAJUHOAN200g80p" "ancient" "1" "1D(2D)" "0.966" "1" "1" 0.66 "3229B" NA "0.22" "XUN" "MANJAGO" "0.26" "MANJAGO" "MANJAGO" "1304" NA "0.46" "MANJAGO" "BAMBARA" "3173B" NA "0.21" "XUN" "MANJAGO"
"18" "JOLACEU300g95p" "ancient" "1" "1D(2D)" "0.903" "0.997" "1" 0.56 "3281B" NA "0.2" "FULAI" "MANJAGO" "0.41" "MANJAGO" "WOLLOF" "1687" NA "0.48" "MANJAGO" "WOLLOF" "4587B" NA "0.14" "IBS" "MANJAGO"
"184" "JOLAJUHOAN300g90p" "ancient" "1" "1D(2D)" "0.896" "1" "1" 0.63 "4545B" NA "0.15" "XUN" "MANJAGO" "0.44" "MANJAGO" "MANJAGO" "992" NA "0.4" "MANJAGO" "MANJAGO" "6047B" NA "0.13" "XUN" "MANJAGO"
"182" "JOLAJUHOAN300g80p" "ancient" "1" "1D(2D)" "0.87" "0.999" "1" 0.68 "5154B" NA "0.26" "XUN" "MANJAGO" "0.42" "FULAII" "MANJAGO" "1408" NA "0.42" "MANJAGO" "MANJAGO" "5898B" NA "0.22" "XUN" "MANJAGO"
"163" "JUHOANMALAWI400g80p" "main" "1" "1D" "0.929" "0.999" "1" 0.1 "1730" NA "0.17" "FULAII" "XUN" "0.13" "XUN" "XUN" "1760" NA "0.16" "FULAII" "XUN" "345" NA "0.28" "KHWE" "XUN"
"41" "JUHOANCEU300g95p" "main" "1" "1D" "0.898" "0.999" "1" 0.17 "1725" NA "0.16" "FULAII" "KARRETJIE" "0.23" "NAMA" "XUN" "1796" NA "0.14" "FULAII" "KARRETJIE" "800" NA "0.13" "KHWE" "KARRETJIE"
"47" "JUHOANCEU400g95p" "main" "1" "1D" "0.913" "0.999" "1" 0.16 "1721" NA "0.17" "FULAII" "KARRETJIE" "0.2" "NAMA" "XUN" "1800" NA "0.13" "FULAII" "KARRETJIE" "946" NA "0.14" "SEMI.BANTU" "KARRETJIE"
"45" "JUHOANCEU400g90p" "main" "1" "1D" "0.915" "0.999" "1" 0.17 "1721" NA "0.24" "FULAII" "KHOMANI" "0.2" "NAMA" "KHOMANI" "1768" NA "0.22" "FULAII" "KHOMANI" "325" NA "0.22" "KHWE" "KHOMANI"
"155" "JUHOANMALAWI200g95p" "main" "1" "1D" "0.908" "0.994" "1" 0.2 "1720" NA "0.12" "FULAII" "GUIGHANAKGAL" "0.18" "XUN" "GUIGHANAKGAL" "1773" NA "0.1" "FULAII" "XUN" "530" NA "0.13" "KHWE" "GUIGHANAKGAL"
"95" "JUHOANJOLA400g95p" "main" "1" "1D" "0.843" "0.997" "1" 0.17 "1717" NA "0.2" "FULAII" "XUN" "0.07" "XUN" "XUN" "1794" NA "0.17" "FULAII" "XUN" "642" NA "0.33" "XUN" "XUN"
"93" "JUHOANJOLA400g90p" "main" "1" "1D" "0.805" "0.997" "1" 0.18 "1714" NA "0.11" "FULAII" "XUN" "0.24" "XUN" "XUN" "1786" NA "0.09" "FULAII" "XUN" "956" NA "0.09" "BAMBARA" "XUN"
"39" "JUHOANCEU300g90p" "main" "1" "1D" "0.908" "0.997" "0.999" 0.28 "1714" NA "0.17" "FULAII" "KHOMANI" "0.22" "NAMA" "KHOMANI" "1776" NA "0.14" "FULAII" "KHOMANI" "63B" NA "0.19" "SEMI.BANTU" "KHOMANI"
"161" "JUHOANMALAWI300g95p" "main" "1" "1D" "0.916" "0.996" "1" 0.17 "1713" NA "0.13" "FULAII" "XUN" "0.22" "XUN" "GUIGHANAKGAL" "1767" NA "0.11" "FULAII" "XUN" "770" NA "0.12" "KHWE" "XUN"
"165" "JUHOANMALAWI400g90p" "main" "1" "1D" "0.908" "0.998" "1" 0.17 "1710" NA "0.15" "FULAII" "XUN" "0.22" "XUN" "XUN" "1765" NA "0.12" "FULAII" "XUN" "757" NA "0.11" "SEMI.BANTU" "XUN"
"87" "JUHOANJOLA300g90p" "main" "1" "1D" "0.794" "0.996" "1" 0.14 "1710" NA "0.19" "FULAII" "XUN" "0.06" "SWBANTU" "XUN" "1779" NA "0.16" "FULAII" "XUN" "24B" NA "0.34" "XUN" "XUN"
"35" "JUHOANCEU200g95p" "main" "1" "1D(2D)" "0.895" "0.997" "0.999" 0.8 "1707" NA "0.15" "FULAII" "KARRETJIE" "0.24" "NAMA" "KARRETJIE" "1737" NA "0.14" "FULAII" "KARRETJIE" "2528B" NA "0.24" "KHWE" "KARRETJIE"
"153" "JUHOANMALAWI200g90p" "main" "1" "1D" "0.907" "0.991" "0.999" 0.2 "1707" NA "0.14" "FULAII" "GUIGHANAKGAL" "0.21" "XUN" "GUIGHANAKGAL" "1755" NA "0.11" "FULAII" "XUN" "790" NA "0.13" "KHWE" "XUN"
"149" "JUHOANMALAWI100g95p" "main" "1" "1D" "0.877" "0.986" "0.998" 0.3 "1705" "(1675-1733)" "0.09" "FULAII" "GUIGHANAKGAL" "0.19" "XUN" "GUIGHANAKGAL" "1765" NA "0.07" "FULAII" "GUIGHANAKGAL" "191" NA "0.48" "XUN" "KARRETJIE"
"147" "JUHOANMALAWI100g90p" "main" "1" "1D(2D)" "0.897" "0.98" "0.992" 0.53 "1704" "(1686-1724)" "0.13" "FULAII" "GUIGHANAKGAL" "0.12" "XUN" "XUN" "1729" NA "0.12" "FULAII" "GUIGHANAKGAL" "963B" NA "0.2" "KHWE" "KARRETJIE"
"91" "JUHOANJOLA400g80p" "main" "1" "1D" "0.718" "0.997" "1" 0.12 "1704" NA "0.13" "FULAII" "XUN" "0.14" "XUN" "XUN" "1762" NA "0.11" "BAMBARA" "XUN" "753" NA "0.08" "FULAII" "XUN"
"167" "JUHOANMALAWI400g95p" "main" "1" "1D" "0.901" "0.997" "1" 0.17 "1701" NA "0.15" "FULAII" "XUN" "0.2" "XUN" "XUN" "1773" NA "0.12" "FULAII" "XUN" "603" NA "0.13" "AKANS" "XUN"
