"pop" "a" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"215" "JOLACEU100g95p" "main" 5 85.41016 0.9644448 0.6319191
"216" "JOLACEU100g95p" "main" 1 84.69391 0.9676703 0.6825442
"217" "JOLACEU100g95p" "main" 2 81.22841 0.9598099 0.6653997
"218" "JOLACEU100g95p" "main" 3 84.40826 0.9614574 0.6680628
"219" "JOLACEU100g95p" "main" 4 81.9297 0.9666907 0.6024969
"220" "JOLACEU100g95p" "main" 5 88.15973 0.962337 0.6633111
"221" "JOLACEU100g95p" "main" 1 83.98071 0.9673984 0.647209
"222" "JOLACEU100g95p" "main" 2 86.70709 0.9652189 0.6474239
"223" "JOLACEU100g95p" "main" 3 88.8174 0.9684724 0.6789718
"224" "JOLACEU100g95p" "main" 4 81.57867 0.9678359 0.6891714
"225" "JOLACEU100g95p" "main" 5 86.5625 0.9655272 0.6358923
"226" "JOLACEU100g95p" "main" 1 88.45172 0.9647677 0.661956
"227" "JOLACEU100g95p" "main" 2 83.41235 0.9619298 0.6453627
"228" "JOLACEU100g95p" "main" 3 88.89062 0.9678608 0.6486002
"229" "JOLACEU100g95p" "main" 4 82.14069 0.9697138 0.6687116
"230" "JOLACEU100g95p" "main" 5 87.06911 0.9686546 0.6697643
"231" "JOLACEU100g95p" "main" 1 87.06911 0.9657676 0.668255
"232" "JOLACEU100g95p" "main" 2 84.98004 0.9603203 0.642431
"233" "JOLACEU100g95p" "main" 3 89.25722 0.9630552 0.6577494
"234" "JOLACEU100g95p" "main" 4 87.86823 0.9630817 0.6564701
"235" "JOLACEU100g95p" "main" 5 85.98535 0.9654173 0.6537419
"236" "JOLACEU100g95p" "main" 1 86.27368 0.9681882 0.7049368
"237" "JOLACEU100g95p" "main" 2 85.19496 0.9643388 0.6212538
"238" "JOLACEU100g95p" "main" 3 86.77943 0.9627178 0.6501994
"239" "JOLACEU100g95p" "main" 4 87.86823 0.966243 0.7074012
"240" "JOLACEU100g95p" "main" 5 88.30566 0.9690976 0.6781001
"241" "JOLACEU100g95p" "main" 1 87.64992 0.9661074 0.6109661
"242" "JOLACEU100g95p" "main" 2 86.20155 0.9611815 0.6482105
"243" "JOLACEU100g95p" "main" 3 86.99664 0.9694695 0.6065102
"244" "JOLACEU100g95p" "main" 4 83.98071 0.9658813 0.6346845
"245" "JOLACEU100g95p" "main" 5 81.36842 0.9615645 0.7089786
"246" "JOLACEU100g95p" "main" 1 90.21393 0.9647984 0.6873591
"247" "JOLACEU100g95p" "main" 2 88.5248 0.964341 0.657786
"248" "JOLACEU100g95p" "main" 3 85.33839 0.9628587 0.6924064
"249" "JOLACEU100g95p" "main" 4 83.69629 0.9681739 0.6829949
"250" "JOLACEU100g95p" "main" 5 86.85181 0.9650092 0.641247
"251" "JOLACEU100g95p" "main" 1 83.12891 0.9647811 0.6941926
"252" "JOLACEU100g95p" "main" 2 85.76942 0.9616169 0.6401842
"253" "JOLACEU100g95p" "main" 3 83.12891 0.9607175 0.7033133
"254" "JOLACEU100g95p" "main" 4 89.62457 0.9662332 0.6232246
"255" "JOLACEU100g95p" "main" 5 87.1416 0.9657398 0.6930346
"256" "JOLACEU100g95p" "main" 1 81.43848 0.9617933 0.6435178
"257" "JOLACEU100g95p" "main" 2 81.7892 0.9650072 0.6430811
"258" "JOLACEU100g95p" "main" 3 86.34584 0.9651583 0.5968301
"259" "JOLACEU100g95p" "main" 4 84.12311 0.9650344 0.6562497
"260" "JOLACEU100g95p" "main" 5 87.72266 0.9639274 0.6635642
"261" "JOLACEU100g95p" "main" 1 92.44141 0.9592304 0.6652602
"262" "JOLACEU100g95p" "main" 2 85.62563 0.9671248 0.6481191
"263" "JOLACEU100g95p" "main" 3 83.62526 0.9629374 0.6247899
"264" "JOLACEU100g95p" "main" 4 82.21107 0.9638427 0.6568318
"265" "JOLACEU100g95p" "main" 5 84.55103 0.9685818 0.6337146
"266" "JOLACEU100g95p" "main" 1 92.36671 0.9653809 0.6398353
"267" "JOLACEU100g95p" "main" 2 83.05812 0.9658954 0.6563594
"268" "JOLACEU100g95p" "main" 3 87.50453 0.9624833 0.644762
"269" "JOLACEU100g95p" "main" 4 87.86823 0.9638749 0.668632
"270" "JOLACEU100g95p" "main" 5 81.22841 0.961347 0.6062524
"271" "JOLACEU100g95p" "main" 1 85.98535 0.9685924 0.6598247
"272" "JOLACEU100g95p" "main" 2 85.48195 0.9694243 0.6791566
"273" "JOLACEU100g95p" "main" 3 80.59985 0.9587171 0.6379621
"274" "JOLACEU100g95p" "main" 4 88.7442 0.9664486 0.6945845
"275" "JOLACEU100g95p" "main" 5 90.21393 0.960261 0.6939143
"276" "JOLACEU100g95p" "main" 1 84.69391 0.9612844 0.6202122
"277" "JOLACEU100g95p" "main" 2 84.69391 0.9646174 0.6314605
"278" "JOLACEU100g95p" "main" 3 86.85181 0.9690568 0.5969193
"279" "JOLACEU100g95p" "main" 4 86.27368 0.9614723 0.7006169
"280" "JOLACEU100g95p" "main" 5 77.28931 0.9668705 0.6489118
"281" "JOLACEU100g95p" "main" 1 83.55426 0.9635312 0.6666592
"282" "JOLACEU100g95p" "main" 2 84.26562 0.9680667 0.6643669
"283" "JOLACEU100g95p" "main" 3 81.15845 0.9655021 0.6566411
"284" "JOLACEU100g95p" "main" 4 81.9297 0.9674122 0.6223162
"285" "JOLACEU100g95p" "main" 5 86.70709 0.9672433 0.6738796
"286" "JOLACEU100g95p" "main" 1 86.99664 0.9632889 0.6527569
"287" "JOLACEU100g95p" "main" 2 84.26562 0.9635206 0.6817223
"288" "JOLACEU100g95p" "main" 3 84.12311 0.9715769 0.7202626
"289" "JOLACEU100g95p" "main" 4 85.69751 0.9621059 0.644941
"290" "JOLACEU100g95p" "main" 5 82.98737 0.9643488 0.6692411
"291" "JOLACEU100g95p" "main" 1 88.45172 0.9632925 0.6586915
"292" "JOLACEU100g95p" "main" 2 89.55104 0.9646806 0.655219
"293" "JOLACEU100g95p" "main" 3 87.43188 0.9681364 0.6578485
"294" "JOLACEU100g95p" "main" 4 86.63478 0.969049 0.63548
"295" "JOLACEU100g95p" "main" 5 84.40826 0.9684983 0.6281351
"296" "JOLACEU100g95p" "main" 1 83.62526 0.9651177 0.6323914
"297" "JOLACEU100g95p" "main" 2 84.83691 0.9609563 0.6541675
"298" "JOLACEU100g95p" "main" 3 81.43848 0.9662951 0.627278
"299" "JOLACEU100g95p" "main" 4 83.98071 0.963535 0.6527033
"300" "JOLACEU100g95p" "main" 5 91.54712 0.9689248 0.6670869
"301" "JUHOANCEU100g80p" "main" 1 98.39994 0.976947 0.7184055
"302" "JUHOANCEU100g80p" "main" 2 98.66998 0.9774752 0.7195538
"303" "JUHOANCEU100g80p" "main" 3 95.91022 0.9773352 0.7415209
"304" "JUHOANCEU100g80p" "main" 4 93.97931 0.9763955 0.7391053
"305" "JUHOANCEU100g80p" "main" 5 98.13026 0.978942 0.7619139
"306" "JUHOANCEU100g80p" "main" 1 97.66884 0.9780871 0.7738478
"307" "JUHOANCEU100g80p" "main" 2 98.36139 0.9766252 0.6974284
