"pop" "a" "bootstrap.num" "date1.est.boot" "date2.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"237" "JOLACEU100g95p" "main" 2 4.588693 101.3657 0.9633849 0.6480211
"238" "JOLACEU100g95p" "main" 3 4.044005 99.54503 0.9576813 0.6360508
"239" "JOLACEU100g95p" "main" 4 4.485821 90.50322 0.962114 0.663823
"240" "JOLACEU100g95p" "main" 5 4.727601 100.8159 0.9654607 0.6841631
"241" "JOLACEU100g95p" "main" 1 4.895729 98.58025 0.9588959 0.6428998
"242" "JOLACEU100g95p" "main" 2 4.5804 95.66 0.9691826 0.5917754
"243" "JOLACEU100g95p" "main" 3 5.196601 102.226 0.9655112 0.6810912
"244" "JOLACEU100g95p" "main" 4 5.446101 102.7624 0.9605579 0.6351706
"245" "JOLACEU100g95p" "main" 5 5.100851 98.69505 0.9647366 0.6424897
"246" "JOLACEU100g95p" "main" 1 4.671968 99.57863 0.9636021 0.6410884
"247" "JOLACEU100g95p" "main" 2 3.317926 95.95495 0.9702334 0.657748
"248" "JOLACEU100g95p" "main" 3 5.800422 99.21288 0.9620918 0.5788234
"249" "JOLACEU100g95p" "main" 4 5.868362 102.4173 0.9656354 0.6517078
"250" "JOLACEU100g95p" "main" 5 6.142025 96.43759 0.9622161 0.6425149
"251" "JOLACEU100g95p" "main" 1 4.519905 103.9288 0.9620188 0.648407
"252" "JOLACEU100g95p" "main" 2 4.522394 102.2097 0.9599689 0.6090979
"253" "JOLACEU100g95p" "main" 3 4.463677 99.35007 0.9709564 0.6619239
"254" "JOLACEU100g95p" "main" 4 5.166531 97.88576 0.9670278 0.6371792
"255" "JOLACEU100g95p" "main" 5 4.891435 92.45408 0.9638959 0.6602812
"256" "JOLACEU100g95p" "main" 1 4.460979 100.7878 0.9681108 0.6674424
"257" "JOLACEU100g95p" "main" 2 2.913329 95.26293 0.965881 0.6769093
"258" "JOLACEU100g95p" "main" 3 4.841394 98.93411 0.9656953 0.6255037
"259" "JOLACEU100g95p" "main" 4 4.495131 102.6824 0.9634895 0.6926751
"260" "JOLACEU100g95p" "main" 5 5.004538 102.5242 0.9698881 0.6591971
