"pop" "\"main\"" "bootstrap.num" "date1.est.boot" "date2.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"224" "WOLLOF" "main" 4 10.87488 75.78107 0.9257187 0.5127125
"225" "WOLLOF" "main" 5 10.02687 70.96337 0.9295265 0.4537886
"226" "WOLLOF" "main" 1 9.551445 73.74028 0.9183211 0.5096818
"227" "WOLLOF" "main" 2 9.34963 75.52334 0.9113034 0.5489359
"228" "WOLLOF" "main" 3 12.85261 82.0836 0.9242809 0.445517
"229" "WOLLOF" "main" 4 8.879076 80.35547 0.9068479 0.587015
"230" "WOLLOF" "main" 5 9.313847 70.24619 0.9160914 0.4940866
"231" "WOLLOF" "main" 1 10.60047 76.46929 0.9183659 0.5018364
"232" "WOLLOF" "main" 2 10.55141 73.44614 0.9174693 0.489582
"233" "WOLLOF" "main" 3 8.939161 61.35293 0.9246834 0.4878407
"234" "WOLLOF" "main" 4 12.60569 81.34871 0.9385446 0.4337746
"235" "WOLLOF" "main" 5 12.23195 83.50031 0.9294832 0.4865537
"236" "WOLLOF" "main" 1 10.48799 88.31753 0.9137736 0.5332956
"237" "WOLLOF" "main" 2 7.754521 62.93035 0.9286531 0.3947878
"238" "WOLLOF" "main" 3 12.90453 89.0465 0.9321747 0.4061826
"239" "WOLLOF" "main" 4 9.962368 69.50261 0.931523 0.3904225
"240" "WOLLOF" "main" 5 10.73712 70.56197 0.9337454 0.4039948
"241" "WOLLOF" "main" 1 8.89621 53.03114 0.9291015 0.4322416
"242" "WOLLOF" "main" 2 11.46015 68.81346 0.9362699 0.3945375
"243" "WOLLOF" "main" 3 11.26173 79.10923 0.9197352 0.4990158
"244" "WOLLOF" "main" 4 11.50934 78.44235 0.9166949 0.4088369
"245" "WOLLOF" "main" 5 11.33424 83.15704 0.928496 0.4711504
"246" "WOLLOF" "main" 1 14.7493 88.01537 0.9163506 0.475511
"247" "WOLLOF" "main" 2 10.42952 69.2242 0.9218197 0.4466519
"248" "WOLLOF" "main" 3 11.54679 95.26594 0.9062073 0.5478442
"249" "WOLLOF" "main" 4 12.28589 106.8713 0.909419 0.5272473
"250" "WOLLOF" "main" 5 9.064333 81.61022 0.9021698 0.6046922
"251" "WOLLOF" "main" 1 9.229906 67.10747 0.9192952 0.489097
"252" "WOLLOF" "main" 2 9.483042 76.25726 0.921547 0.5057927
"253" "WOLLOF" "main" 3 9.423101 65.46635 0.9386266 0.4963482
"254" "WOLLOF" "main" 4 6.974672 62.1612 0.9241422 0.4422252
"255" "WOLLOF" "main" 5 10.24912 76.74522 0.9105176 0.558655
"256" "WOLLOF" "main" 1 8.255448 67.68607 0.9140945 0.5632114
"257" "WOLLOF" "main" 2 11.30306 82.92337 0.9156987 0.4916852
"258" "WOLLOF" "main" 3 11.03218 82.57216 0.9217381 0.4960924
"259" "WOLLOF" "main" 4 9.05129 72.70581 0.9238663 0.4889308
"260" "WOLLOF" "main" 5 10.68618 70.86316 0.927238 0.449627
"261" "WOLLOF" "main" 1 8.246483 58.75732 0.9266547 0.42994
"262" "WOLLOF" "main" 2 8.038621 62.12388 0.9278502 0.4245013
"263" "WOLLOF" "main" 3 12.55658 82.19114 0.9251454 0.453346
"264" "WOLLOF" "main" 4 9.182589 70.935 0.9300594 0.454284
"265" "WOLLOF" "main" 5 9.5733 66.44755 0.9257956 0.45383
"266" "WOLLOF" "main" 1 8.354262 65.03741 0.9206338 0.5183368
"267" "WOLLOF" "main" 2 9.310181 67.33997 0.9258796 0.4535425
"268" "WOLLOF" "main" 3 7.846199 67.98558 0.9150652 0.5404154
"269" "WOLLOF" "main" 4 8.413956 63.13096 0.9266052 0.5023034
"270" "WOLLOF" "main" 5 7.457526 58.96709 0.9174009 0.4832359
"271" "WOLLOF" "main" 1 6.945042 47.19236 0.9290957 0.2994231
"272" "WOLLOF" "main" 2 11.5956 82.45034 0.9245751 0.4922942
"273" "WOLLOF" "main" 3 8.949732 74.08453 0.9129009 0.5488487
"274" "WOLLOF" "main" 4 9.819762 72.34255 0.9285424 0.4191729
"275" "WOLLOF" "main" 5 13.01716 90.89382 0.9268901 0.4801535
"276" "WOLLOF" "main" 1 7.018957 57.3824 0.9189306 0.472575
"277" "WOLLOF" "main" 2 11.19838 71.39256 0.9365504 0.4583544
"278" "WOLLOF" "main" 3 8.834571 70.70854 0.9245116 0.4874983
"279" "WOLLOF" "main" 4 7.499928 60.69454 0.915039 0.4521942
"280" "WOLLOF" "main" 5 6.670644 59.53672 0.9198816 0.5051196
"281" "WOLLOF" "main" 1 11.54299 83.40894 0.9308126 0.3690958
"282" "WOLLOF" "main" 2 10.20324 63.79392 0.9201652 0.4127946
"283" "WOLLOF" "main" 3 8.364085 66.80265 0.9127923 0.5430498
"284" "WOLLOF" "main" 4 12.52025 87.1598 0.9236249 0.5359306
"285" "WOLLOF" "main" 5 10.71381 79.07722 0.9224097 0.5339149
"286" "WOLLOF" "main" 1 9.763542 58.02033 0.9194528 0.4178553
"287" "WOLLOF" "main" 2 9.833703 67.46864 0.9269117 0.4043207
"288" "WOLLOF" "main" 3 8.903776 68.48196 0.9230849 0.5322242
"289" "WOLLOF" "main" 4 9.509898 73.26019 0.9129464 0.5370603
"290" "WOLLOF" "main" 5 10.41146 75.39023 0.922614 0.45411
"291" "WOLLOF" "main" 1 5.748612 64.22039 0.9006502 0.5238494
"292" "WOLLOF" "main" 2 11.3185 82.92279 0.9137752 0.5291663
"293" "WOLLOF" "main" 3 7.782879 63.84704 0.9245729 0.500743
"294" "WOLLOF" "main" 4 8.067687 61.77059 0.9211839 0.5168891
"295" "WOLLOF" "main" 5 12.04526 86.05855 0.9250921 0.4623923
"296" "WOLLOF" "main" 1 9.763953 72.81797 0.9074513 0.5663208
"297" "WOLLOF" "main" 2 11.6278 74.23256 0.9328696 0.447388
"298" "WOLLOF" "main" 3 7.815771 62.53436 0.9199917 0.483683
"299" "WOLLOF" "main" 4 7.33627 56.95245 0.9191095 0.472922
"300" "WOLLOF" "main" 5 8.580432 59.41763 0.9203192 0.4496169
