,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult
139,JOLAMALAWI400g80p,main,1D,5.21366089262991,0.2,0.811,0.998,0.999,MANJAGO,SERERE,0.46,SERERE,SERERE,4.26722655847366,81.6118119449231,0.05,0.22,MANJAGO,SERERE,0.39,MANJAGO,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
23,JOLACEU400g95p,main,1D,5.24413935312607,0.41,0.781,0.999,1,MANJAGO,WOLLOF,0.48,MANJAGO,WOLLOF,4.49910461226997,42.6033148193657,0.04,0.41,MANJAGO,WOLLOF,0.47,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
189,JOLAJUHOAN400g90p,main,1D,5.25941977048293,0.28,0.807,0.992,0.997,MANJAGO,MANJAGO,0.39,MANJAGO,MANJAGO,4.59421193831517,107.077046968956,0.04,0.29,MANJAGO,MANJAGO,0.45,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
177,JOLAJUHOAN200g90p,main,2D,5.42931659419461,0.38,0.825,0.91,1,MANJAGO,MANJAGO,0.38,MANJAGO,MANJAGO,4.47725752765963,209.998745715767,0.69,0.4,MANJAGO,MANJAGO,0.13,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
17,JOLACEU300g95p,main,1D,5.4605638807213,0.35,0.803,0.999,1,MANJAGO,WOLLOF,0.49,MANJAGO,WOLLOF,4.59528069855805,125.355817927725,0.26,0.36,MANJAGO,WOLLOF,0.31,FULAI,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
135,JOLAMALAWI300g90p,main,1D,5.49192099953807,0.26,0.842,0.998,1,MANJAGO,SERERE,0.42,SERERE,SERERE,4.2731349643056,55.332094917721,0.08,0.27,MANJAGO,SERERE,0.39,SERERE,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
187,JOLAJUHOAN400g80p,main,1D,5.55496473404183,0.27,0.81,0.984,0.999,MANJAGO,MANJAGO,0.49,MANJAGO,MANJAGO,4.32697851619706,79.5069588199568,0.12,0.26,MANJAGO,MANJAGO,0.47,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
191,JOLAJUHOAN400g95p,main,1D,5.57079431284907,0.31,0.797,0.997,0.999,MANJAGO,MANJAGO,0.39,MANJAGO,MANJAGO,4.04009764332105,57.8712346661667,0.07,0.29,MANJAGO,MANJAGO,0.44,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
143,JOLAMALAWI400g95p,main,1D,5.6025358446811,0.29,0.854,0.999,1,MANJAGO,SERERE,0.49,MANJAGO,SERERE,4.63472498119255,65.2777249927916,0.05,0.29,MANJAGO,SERERE,0.49,SERERE,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
183,JOLAJUHOAN300g90p,main,1MW,5.6025358446811,0.23,0.758,0.875,0.998,MANJAGO,MANJAGO,0.45,MANJAGO,MANJAGO,4.57340662966699,143.155199718131,0.24,0.23,MANJAGO,MANJAGO,0.29,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
137,JOLAMALAWI300g95p,main,1D,5.76289098819241,0.25,0.856,1,1,MANJAGO,SERERE,0.48,MANJAGO,SERERE,5.08039234326542,62.5423612413739,0.05,0.28,MANJAGO,SERERE,0.39,SERERE,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
131,JOLAMALAWI200g95p,main,1D,5.84409823766753,0.21,0.849,0.998,1,MANJAGO,SERERE,0.26,SERERE,SERERE,4.5254635796114,68.5176599130698,0.09,0.22,MANJAGO,SERERE,0.4,MANJAGO,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
133,JOLAMALAWI300g80p,main,1D,5.87677334396521,0.2,0.838,0.989,0.999,MANJAGO,SERERE,0.39,SERERE,SERERE,4.40090835485876,41.9215601139475,0.06,0.27,MANJAGO,SERERE,0.4,SERERE,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
129,JOLAMALAWI200g90p,main,1D,5.87677334396521,0.2,0.839,0.996,0.999,MANJAGO,SERERE,0.43,SERERE,SERERE,4.66108331559141,88.2263912563241,0.1,0.22,MANJAGO,SERERE,0.36,SERERE,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
